2022-09-02T14:23:01.935+02:00,IdeState,Active,Editor,1.ipynb,9,72
2022-09-02T14:23:02.936+02:00,IdeState,Active,Editor,1.ipynb,9,72
2022-09-02T14:23:03.940+02:00,IdeState,Active,Editor,1.ipynb,9,72
2022-09-02T14:23:04.944+02:00,IdeState,Active,Editor,1.ipynb,9,72
2022-09-02T14:23:05.949+02:00,IdeState,Active,Editor,1.ipynb,9,72
2022-09-02T14:23:06.949+02:00,IdeState,Active,Editor,1.ipynb,9,73
2022-09-02T14:23:07.959+02:00,IdeState,Active,Editor,1.ipynb,9,77
2022-09-02T14:23:08.964+02:00,IdeState,Active,Editor,1.ipynb,9,78
2022-09-02T14:23:09.968+02:00,IdeState,Active,Editor,1.ipynb,9,78
2022-09-02T14:23:10.971+02:00,IdeState,Active,Editor,1.ipynb,9,78
2022-09-02T14:23:11.973+02:00,IdeState,Active,Editor,1.ipynb,9,78
2022-09-02T14:23:12.977+02:00,IdeState,Active,Editor,1.ipynb,9,78
2022-09-02T14:23:13.979+02:00,IdeState,Active,Editor,1.ipynb,9,78
2022-09-02T14:23:14.983+02:00,IdeState,Active,Editor,1.ipynb,9,78
2022-09-02T14:23:15.987+02:00,IdeState,Active,Editor,1.ipynb,9,78
2022-09-02T14:23:16.989+02:00,IdeState,Active,Editor,1.ipynb,9,78
2022-09-02T14:23:17.989+02:00,IdeState,Active,Editor,1.ipynb,9,78
2022-09-02T14:23:18.992+02:00,IdeState,Active,Editor,1.ipynb,9,78
2022-09-02T14:23:19.993+02:00,IdeState,Active,Editor,1.ipynb,9,78
2022-09-02T14:23:20.998+02:00,IdeState,Active,Editor,1.ipynb,9,78
2022-09-02T14:23:22.003+02:00,IdeState,Active,Editor,1.ipynb,9,78
2022-09-02T14:23:23.006+02:00,IdeState,Active,Editor,1.ipynb,9,78
2022-09-02T14:23:24.009+02:00,IdeState,Active,Editor,1.ipynb,9,78
2022-09-02T14:23:25.009+02:00,IdeState,Active,Editor,1.ipynb,9,78
2022-09-02T14:23:26.014+02:00,IdeState,Active,Editor,1.ipynb,9,78
2022-09-02T14:23:27.014+02:00,IdeState,Active,Editor,1.ipynb,9,78
2022-09-02T14:23:28.015+02:00,IdeState,Active,Editor,1.ipynb,9,78
2022-09-02T14:23:29.017+02:00,IdeState,Active,Editor,1.ipynb,9,30
2022-09-02T14:23:30.020+02:00,IdeState,Active,Editor,1.ipynb,9,30
2022-09-02T14:23:31.025+02:00,IdeState,Active,Editor,1.ipynb,9,30
2022-09-02T14:23:32.027+02:00,IdeState,Active,Editor,1.ipynb,9,30
2022-09-02T14:23:33.027+02:00,IdeState,Active,Editor,1.ipynb,9,30
2022-09-02T14:23:34.032+02:00,IdeState,Active,Editor,1.ipynb,9,30
2022-09-02T14:23:35.036+02:00,IdeState,Active,Editor,1.ipynb,9,13
2022-09-02T14:23:36.039+02:00,IdeState,Active,Editor,1.ipynb,9,14
2022-09-02T14:23:37.040+02:00,IdeState,Active,Editor,1.ipynb,9,14
2022-09-02T14:23:38.044+02:00,IdeState,Active,Editor,1.ipynb,9,31
2022-09-02T14:23:39.046+02:00,IdeState,Active,Editor,1.ipynb,9,31
2022-09-02T14:23:40.049+02:00,IdeState,Active,Editor,1.ipynb,9,31
2022-09-02T14:23:41.052+02:00,IdeState,Active,Editor,1.ipynb,9,48
2022-09-02T14:23:42.056+02:00,IdeState,Active,Editor,1.ipynb,9,48
2022-09-02T14:23:43.062+02:00,IdeState,Active,Editor,1.ipynb,9,49
2022-09-02T14:23:44.066+02:00,IdeState,Active,Editor,1.ipynb,9,49
2022-09-02T14:23:45.069+02:00,IdeState,Active,Editor,1.ipynb,9,49
2022-09-02T14:23:46.072+02:00,IdeState,Active,Editor,1.ipynb,9,49
2022-09-02T14:23:47.077+02:00,IdeState,Active,Editor,1.ipynb,9,49
2022-09-02T14:23:48.079+02:00,IdeState,Active,Editor,1.ipynb,9,49
2022-09-02T14:23:49.082+02:00,IdeState,Active,Editor,1.ipynb,9,49
2022-09-02T14:23:50.084+02:00,IdeState,Active,Editor,1.ipynb,9,49
2022-09-02T14:23:51.084+02:00,IdeState,Active,Editor,1.ipynb,9,73
2022-09-02T14:23:52.086+02:00,IdeState,Active,Editor,1.ipynb,9,73
2022-09-02T14:23:53.087+02:00,IdeState,Active,Editor,1.ipynb,9,73
2022-09-02T14:23:54.087+02:00,IdeState,Active,Editor,1.ipynb,9,73
2022-09-02T14:23:55.090+02:00,IdeState,Active,Editor,1.ipynb,9,73
2022-09-02T14:23:56.094+02:00,IdeState,Active,Editor,1.ipynb,9,73
2022-09-02T14:23:57.097+02:00,IdeState,Active,Editor,1.ipynb,9,73
2022-09-02T14:23:58.097+02:00,IdeState,Active,Editor,1.ipynb,9,73
2022-09-02T14:23:59.102+02:00,IdeState,Active,Editor,1.ipynb,9,73
2022-09-02T14:24:00.107+02:00,IdeState,Active,Editor,1.ipynb,9,73
2022-09-02T14:24:01.112+02:00,IdeState,Active,Editor,1.ipynb,9,73
2022-09-02T14:24:01.521+02:00,Action,org.jetbrains.research.ml.tasktracker.services.NextButtonAction,Editor,1.ipynb,9,73
2022-09-02T14:24:02.115+02:00,IdeState,Active,Editor,5.ipynb,1,0
2022-09-02T14:24:03.120+02:00,IdeState,Active,Editor,5.ipynb,1,0
2022-09-02T14:24:04.124+02:00,IdeState,Active,Editor,5.ipynb,1,0
2022-09-02T14:24:05.126+02:00,IdeState,Active,Editor,5.ipynb,1,0
2022-09-02T14:24:06.128+02:00,IdeState,Active,Editor,5.ipynb,1,0
2022-09-02T14:24:07.131+02:00,IdeState,Active,Editor,5.ipynb,1,0
2022-09-02T14:24:08.133+02:00,IdeState,Active,Editor,5.ipynb,1,0
